id,nama,Umur,Status,no_hp,alamat
1,Pia Ramadan,58,Sudah Menikah,08569250813,"JALAn diPOnegorO NO.111, kECAmaTaN cIbEunYINg, CiMahI, JaWa baraT"
2,Wasis Sirait,21,Belum Menikah,08187601064,"jalan MErdEka NO.10, Kec. cimAHI uTarA, CimaHi, jaWA baRaT"
3,"Cakrabirawa Thamrin, S.H.",51,Belum Menikah,08943525495,"JaLAN AHmAD yaNi NO.61, KEC. ciBeuNyInG, sUmEDanG, jawa bArAT"
4,Karimah Farida,66,Sudah Menikah,08009475173,"gaNg DEWI sarTiKa no.105, kEc. kARANGpaWitan, karawang, jAwA baRat"
5,Lalita Rajata,21,Belum Menikah,08848559134,"kOmPLek pAhlaWAn no.97, keC. KARANgPAWItAn, GArUt, jawA BARaT"
6,Dipa Yulianti,23,Sudah Menikah,08918244005,"jaLaN SudiRmaN nO.200, KEc. CimAhi, KuNiNGan, jAWA barat"
7,Kasiyah Najmudin,18,Sudah Menikah,08755288737,"JALan DiPoNEgOro no.53, kECamaTAn karAnGPAwitAN, KarawanG, JaWa BaRat"
8,"Dt. Luhung Putra, S.Farm",49,Belum Menikah,08557952145,"JalAn PAhlawAn no.134, Kec. boJoNg, SUkAbUMI, JawA baRat"
9,"Asmianto Rajasa, M.Kom.",22,Sudah Menikah,08339442302,"gaNg dipOneGORO nO.79, kEc. CimAhI, DEPOK, jAwa BarAt"
10,Natalia Halim,70,Belum Menikah,08209387427,"jL. sudiRMAN no.67, kEC. CIBeUnyinG, pANgANdARaN, Jawa BaRAT"
11,Darsirah Sudiati,56,Belum Menikah,08878703175,"ganG pAHlAWaN No.146, kecamAtaN CimAHi SELatan, tAsiKmAlAYA, JAwA baraT"
12,"Puti Fathonah Zulaika, S.H.",69,Belum Menikah,08438910528,"KOmpleK meRDeKa no.87, KECaMatAn cimAhI tEnGAH, depOK, jAWa barAT"
13,"dr. Wage Santoso, M.TI.",33,Sudah Menikah,08403375621,"Jl. DEWI sArTika no.46, KEC. cIbeunyING, cireBON, jAwA BaRAt"
14,"R.M. Marsito Sudiati, S.E.I",45,Sudah Menikah,08265057015,"kOMPleK AHMAd YAni no.197, KeC. cIBEUNyINg, sUBANg, JaWa bARaT"
15,Ganep Uwais,61,Sudah Menikah,08588446322,"KOmPLEK Dewi SARTika no.169, kEc. KAranGpAWItan, Garut, jawA BARaT"
16,Karna Sitompul,63,Sudah Menikah,08746361553,"gaNG mErDekA nO.26, KEcaMAtan ciBeunYIng, BaNjar, jAWA BARaT"
17,Oman Samosir,69,Sudah Menikah,08173372428,"GANG PAhlaWan NO.19, kecAMatAN BOjoNG, CiaNjuR, JAWA BaRAT"
18,Elma Suryatmi,54,Belum Menikah,08156646830,"jAlan dEwi SaRtIkA no.166, kECaMATan CiMaHi selaTan, dePOK, JaWA bArat"
19,Sabrina Sinaga,55,Sudah Menikah,08730935019,"jALan dewi SaRtika no.97, kEc. CimAHI teNgAh, MajAleNgkA, jAWA baRat"
20,Harja Firgantoro,43,Sudah Menikah,08088259255,"JAlan dewI saRtIkA nO.169, kecAMATan cIMaHi uTArA, dePOk, jAWA baraT"
21,Iriana Wulandari,33,Sudah Menikah,08512931572,"Jl. sudiRMan No.177, keCAmaTAN BoJoNg, sUBang, jAWA baraT"
22,Balijan Mansur,36,Sudah Menikah,08677264404,"JL. DEwI SartIkA no.112, KEcAMaTAN CImahi, DePoK, jAwa BaRat"
23,"Radit Aryani, M.Pd",40,Sudah Menikah,08872801865,"jL. suDiRMAn no.42, KECamATan cIMaHi uTaRA, gaRUT, JawA bAraT"
24,Faizah Napitupulu,69,Belum Menikah,08304316679,"GANG AHMAd yAnI No.192, kEC. CiMAhi, PUrWaKARtA, jawa bArat"
25,drg. Zaenab Puspita,42,Sudah Menikah,08125177061,"JalAN ahmaD yAnI no.113, kEC. CiMAHI, BAnDUNg, jaWA barAT"
26,"Vino Thamrin, S.Gz",45,Sudah Menikah,08276374601,"jL. dewi SartIKA No.161, kecaMAtAN bOjoNG, MaJALEnGKa, JAWA BAraT"
27,Fitriani Sitompul,48,Belum Menikah,08560377198,"jL. MeRdeka No.137, kEcaMataN CimAHI UTaRA, PANGANDARan, jAWA baRAT"
28,Nabila Agustina,49,Belum Menikah,08113375975,"Jl. SUDiRMaN no.173, Kec. cIBeUNyiNg, BekAsi, jawA BaraT"
29,Zaenab Sinaga,65,Sudah Menikah,08865168243,"GANg pAhlawAN NO.8, KEc. cIMaHi, KArAWAnG, jaWa BArAt"
30,Victoria Suwarno,32,Sudah Menikah,08533303854,"jaLAN PaHlAWAn nO.114, kEc. KaraNgpAWiTAN, KaRAwANg, jawa BARAt"
31,"Novi Santoso, M.Ak",60,Sudah Menikah,08738929227,"gaNg PAhlAWan no.6, kEC. KarAngpAwITAn, BogOr, JaWA bArat"
32,R.A. Kiandra Tampubolon,33,Belum Menikah,08272473228,"gaNG AHmaD Yani No.170, KEc. kArangpAWITAn, bogoR, jawa baRAT"
33,Danang Rahimah,55,Belum Menikah,08109838447,"jAlan dipONeGorO nO.200, KecAMatAN BojONG, tASIkMALayA, JaWa BArAt"
34,Dalimin Sitorus,37,Sudah Menikah,08800543573,"GaNG dIPONEGOrO nO.30, kEC. CImAHi tenGAh, dePok, JAwA baRAT"
35,Cinthia Setiawan,53,Sudah Menikah,08427326726,"GANg dewI sARTIKA nO.43, kECAMATan KaranGpAwiTaN, PUrwAKARta, JawA barat"
36,Setya Narpati,57,Sudah Menikah,08812341655,"gang sudirMan no.72, KECamatAN karanGpAWitaN, MajAlENgKa, JAwA BArAt"
37,Ikhsan Wahyudin,19,Sudah Menikah,08835965975,"kompLEK SuDIRMan no.31, kec. CIMAHi, CIanJur, jawA BArAt"
38,"Cut Michelle Laksita, S.E.",20,Belum Menikah,08479998299,"JaLan aHmaD YAnI nO.32, KEc. KArANGpAWitAn, kunINGaN, jAWA barAt"
39,Eka Mandala,56,Sudah Menikah,08301512770,"JL. MErDEKa nO.149, KECAMaTaN KAraNGPAWiTan, pURwAKARTa, jawa BARAT"
